m,k,n,time_us,throughput_TFLOPS,bandwidth_GBs
128,8192,16384,57.341,599.2176342930887,2432.127238799463
128,12288,16384,79.532,648.0361056178645,2603.904843333501
128,16384,16384,100.397,684.4773921133101,2736.4055898084603
512,2048,2048,9.077,473.1703532003966,808.640740332709
512,4096,2048,12.94,663.8280210200927,972.4043276661515
512,7168,2048,20.071,748.9604671416471,1018.7450550545562
512,8192,2048,22.017,780.3001854930282,1047.766362356361
512,12288,2048,30.548,843.583991619746,1098.4166557548776
512,16384,2048,37.939,905.6574598170748,1160.8158359471784
512,2048,4096,12.04,713.4497169435216,1132.183388704319
512,4096,4096,19.164,896.4657265706533,1203.750365268211
512,7168,4096,30.170000000000005,996.5121336426912,1233.823268147166
512,8192,4096,32.64,1052.688062745098,1285.0196078431372
512,12288,4096,44.296,1163.5273512732529,1372.977424598158
512,16384,4096,55.275,1243.2288871279964,1441.7327182270467
512,2048,7168,19.432,773.5892103746397,1187.1486208316178
512,4096,7168,32.072,937.4149124469942,1209.6941880768272
512,7168,7168,48.924,1075.409806557109,1275.248794047911
512,8192,7168,139.083,432.32848115154263,505.1270967695549
512,12288,7168,76.845,1173.7173949638882,1323.5977877545708
512,16384,7168,103.511,1161.8000433577108,1286.521741650646
512,2048,8192,19.838,866.008125012602,1321.4235305978423
512,4096,8192,32.832,1046.531992202729,1341.3801169590643
512,7168,8192,49.613,1211.9715023078627,1426.6196359825046
512,8192,8192,54.816,1253.6390239346174,1453.8050204319907
512,12288,8192,78.466,1313.6800028547398,1469.978844340224
512,16384,8192,102.505,1340.802433754451,1473.0495488024974
512,2048,12288,30.305,850.3482519716218,1280.2280811747237
512,4096,12288,48.578,1060.966024784882,1338.295360039524
512,7168,12288,121.966,739.5037405178492,855.429480346982
512,8192,12288,87.583,1176.9317687679115,1340.9053355103158
512,12288,12288,124.72399999999999,1239.6878119367566,1361.9617074500497
512,16384,12288,163.561,1260.4375750209404,1359.114409914344
512,2048,16384,34.978,982.3242714849332,1468.929727257133
512,4096,16384,56.783,1210.2121539193067,1514.2425021573358
